time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,DeviceOrientation
2014-02-24 18:17:03.525,15,1.5,43.61248,3.912195,22.26219,3.016407,170.9329,9,5,1393262222,0.2274323,-0.3973083,-0.876297,16.20345,-57.00771,-7.915131,200.632,199.9238,25,0.01709243,0.11905,-0.1535019,0.02715714,0.218233,0.4785084,0.06574927,0.09177205,-0.1372312,0.02950726,0.05519741,-0.02431718,1
2014-02-24 18:17:03.630,16,1.6,43.61248,3.912195,22.26219,3.016407,170.9329,9,5,1393262222,0.2053986,-0.40271,-0.8667755,2.535908,-55.22036,-18.23238,195.7285,195.0202,25,-0.03416303,0.1318211,-0.2080818,0.02408418,0.221574,0.478561,0.001889144,0.1092688,-0.1556118,0.02765589,0.05130733,-0.01714471,3
2014-02-24 18:17:03.728,17,1.7,43.61248,3.912195,22.26219,3.016407,170.9329,9,5,1393262222,0.2053986,-0.40271,-0.8667755,-6.685564,-55.43701,-20.14924,189.0412,188.333,25,-0.05353007,0.2004114,-0.2582079,0.01543104,0.2315418,0.4727639,-0.06877626,0.1906502,-0.2603352,-0.00179306,0.04864099,-0.00704217,3
2014-02-24 18:17:03.826,18,1.8,43.61248,3.912195,22.26219,3.016407,170.9329,9,5,1393262222,0.2118988,-0.4189453,-0.8841248,-15.96193,-55.59949,-19.41631,179.3787,178.6704,25,0.01793719,0.2846373,-0.2829784,0.009901762,0.238629,0.4698143,0.002658857,0.2748756,-0.2851123,-0.005361915,0.05001077,-0.000389938,3
2014-02-24 18:17:03.919,19,1.9,43.61243,3.912203,19.34371,3.03433,170.8,9,5,1393262223,0.2236328,-0.4062042,-0.8791962,-21.61556,-29.00593,-16.65376,127.1325,126.4243,25,-0.1250852,0.2668343,-0.2454665,0.004502679,0.246055,0.4681359,-0.0577256,0.2654425,-0.2726963,-0.00547437,0.03227825,-0.01859243,3
2014-02-24 18:17:04.014,20,2,43.61243,3.912203,19.34371,3.03433,170.8,9,5,1393262223,0.2216187,-0.3680878,-0.8560944,-17.99284,-27.0561,-19.13442,118.7136,118.0054,25,-0.1369792,0.330865,-0.306034,-0.004849761,0.2603489,0.45924,-0.152289,0.3211031,-0.3081744,-0.0155671,0.05229101,-0.002501338,3
2014-02-24 18:17:04.118,21,2.1,43.61243,3.912203,19.34371,3.03433,170.8,9,5,1393262223,0.2737885,-0.3945923,-0.9138336,-20.02376,-29.92668,-18.73978,127.4403,126.7321,25,-0.09132086,0.4137293,-0.3345585,-0.01091061,0.2700705,0.4553618,-0.1066307,0.4039674,-0.3366989,0.004207149,0.06915133,0.0009388664,3
2014-02-24 18:17:04.222,22,2.2,43.61243,3.912203,19.34371,3.03433,170.8,9,5,1393262223,0.2831116,-0.4048309,-0.9185333,-18.48685,-28.51847,-23.25003,111.187,110.4788,25,-0.1773817,0.2714864,-0.3222657,-0.01722118,0.2801977,0.4495398,-0.1324366,0.3561541,-0.3388374,0.02450475,0.04798498,-0.04057479,3
2014-02-24 18:17:04.327,23,2.3,43.61243,3.912203,19.34371,3.03433,170.8,9,5,1393262223,0.2986908,-0.4213104,-0.9425964,-20.51777,-29.33089,-23.30642,118.2601,117.5519,25,-0.1791258,0.2142433,-0.2501646,-0.02731871,0.2944574,0.4384048,-0.1945025,0.2044931,-0.2523242,0.02033706,0.01966474,-0.0520733,3
2014-02-24 18:17:04.504,24,2.4,43.61243,3.912203,19.34371,3.03433,170.8,9,5,1393262223,0.2942505,-0.3954315,-0.9642944,-20.68244,-30.68495,-23.5883,125.6985,124.9902,25,-0.1517333,0.1281809,-0.1247118,-0.03033265,0.2988542,0.4337945,-0.1974537,0.143822,-0.182547,0.03153588,-0.0009935682,-0.07543901,3
